isbn,hall,bookcase,shelf,numbers
9780064420815,1,4,5,5
9780064433730,1,4,5,5
9780064434874,1,4,5,1
9780064434942,1,4,5,4
9780064435260,1,4,5,1
9780064440950,1,4,5,4
9780064441766,1,4,5,1
9780064462044,1,4,5,1
9780064462341,1,4,5,1
9780064471961,1,4,5,3
9780064472777,1,4,5,4
9780064473552,1,4,5,5
9780066236179,1,4,5,1
9780066238500,1,4,6,5
9780070488205,1,4,6,3
9780071418584,1,4,6,5
9780071428484,1,4,6,3
9780071433716,1,4,6,2
9780071451383,1,4,6,4
9780072226966,1,4,6,2
9780072920963,1,4,6,1
9780075536390,1,4,6,5
9780091883768,1,4,6,5
9780091894603,1,4,7,4
9780091895815,1,4,7,3
9780099134015,1,4,7,3
9780099267546,1,4,7,4
9780099271499,1,4,7,3
9780099273844,1,4,7,3
9780099273868,1,4,7,3
9780099276494,1,4,7,3
9780099282648,1,4,7,1
9780099282969,1,4,7,1
9780099283225,1,4,7,4
9780099284482,1,4,7,5
9780099285557,1,4,7,1
9780099285564,1,4,7,3
9780099285823,1,5,1,4
9780099297703,1,5,1,2
9780099307914,1,5,1,5
9780099339212,1,5,1,1
9780099410355,1,5,1,1
9780099421863,1,5,1,4
9780099422686,1,5,1,5
9780099422693,1,5,1,2
9780099427865,1,5,1,4
9780099428169,1,5,1,2
9780099429166,1,5,1,3
9780099429791,1,5,1,1
9780099432449,1,5,1,4
9780099437529,1,5,1,2
9780099437598,1,5,1,2
9780099448464,1,5,2,3
9780099448471,1,5,2,2
9780099448570,1,5,2,1
9780099448754,1,5,2,3
9780099448761,1,5,2,3
9780099448921,1,5,2,2
9780099449867,1,5,2,3
9780099453833,1,5,2,2
9780099456452,1,5,2,4
9780099458265,1,5,2,1
9780099460176,1,5,2,3
9780099461098,1,5,2,4
9780099462255,1,5,2,1
9780099468196,1,5,2,1
9780099468646,1,5,3,2
9780099471370,1,5,3,1
9780099471431,1,5,3,1
9780099474128,1,5,3,1
9780099474395,1,5,3,5
9780099474548,1,5,3,2
9780099476337,1,5,3,2
9780099476351,1,5,3,4
9780099477310,1,5,3,5
9780099478423,1,5,3,5
9780099478447,1,5,3,4
9780099481249,1,5,3,3
9780099481560,1,5,4,5
9780099481683,1,5,4,5
9780099483472,1,5,4,5
9780099489986,1,5,4,2
9780099490685,1,5,4,4
9780099498582,1,5,4,5
9780099498599,1,5,4,3
9780099498636,1,5,4,1
9780099498667,1,5,5,1
9780099556312,1,5,5,2
9780099582014,1,5,5,2
9780099595816,1,5,5,5
9780099730514,1,5,5,4
9780099742005,1,5,5,1
9780099748618,1,5,5,2
9780099766810,1,5,5,2
9780099771814,1,5,5,5
9780099801900,1,5,5,2
9780099911708,1,5,6,3
9780099928409,1,5,6,4
9780130235015,1,5,6,2
9780130887016,1,5,6,5
9780131492028,1,5,6,5
9780131494848,1,5,7,3
9780131730366,1,5,7,4
9780131816596,1,5,7,5
9780131871656,1,5,7,4
9780131922167,1,5,7,4
9780131935075,1,5,8,4
9780132197380,1,5,8,5
9780132370455,1,5,8,1
9780132382458,1,5,8,5
9780140009378,1,5,8,2
9780140018325,1,5,8,3
9780140030341,1,5,8,2
9780140041798,1,5,8,5
9780140055771,1,6,1,3
9780140065503,1,6,1,5
9780140071788,1,6,1,3
9780140115857,1,6,1,5
9780140118827,1,6,1,5
9780140119480,1,6,1,1
9780140125054,1,6,1,2
9780140128468,1,6,1,4
9780140131673,1,6,1,2
9780140135152,1,6,1,2
9780140137002,1,6,1,5
9780140137347,1,6,1,3
9780140139396,1,6,2,5
9780140139402,1,6,2,4
9780140139976,1,6,2,4
9780140140828,1,6,2,2
9780140143454,1,6,2,5
9780140144185,1,6,2,1
9780140149241,1,6,2,3
9780140150308,1,6,2,2
9780140150742,1,6,3,3
9780140152746,1,6,3,4
9780140153194,1,6,3,5
9780140153224,1,6,3,5
9780140154078,1,6,3,5
9780140156041,1,6,3,2
9780140157512,1,6,3,3
9780140158762,1,6,3,1
9780140159943,1,6,3,3
9780140159950,1,6,4,4
9780140177398,1,6,4,2
9780140178135,1,6,4,3
9780140178661,1,6,4,1
9780140178975,1,6,4,4
9780140183955,1,6,4,5
9780140185331,1,6,4,2
9780140186123,1,6,4,5
9780140188264,1,6,4,1
9780140188929,1,6,4,5
9780140189223,1,6,4,4
9780140189445,1,6,4,4
9780140189643,1,6,5,5
9780140189865,1,6,5,4
9780140191912,1,6,5,4
9780140191929,1,6,5,2
9780140192070,1,6,5,5
9780140193350,1,6,5,5
9780140196092,1,6,5,1
9780140231571,1,6,5,2
9780140234442,1,6,5,1
9780140236231,1,6,6,5
9780140237511,1,6,6,5
9780140237535,1,6,6,1
9780140238280,1,6,6,2
9780140244915,1,6,6,1
9780140247725,1,6,6,5
9780140247749,1,6,6,4
9780140250916,1,6,6,4
9780140252620,1,6,7,4
9780140253801,1,6,7,5
9780140255256,1,6,7,3
9780140260021,1,6,7,5
9780140260892,1,6,7,4
9780140264920,1,6,7,2
9780140271577,1,6,7,4
9780140271799,1,6,8,3
9780140274219,1,6,8,1
9780140275018,1,6,8,1
9780140275650,1,6,8,5
9780140276336,1,6,8,1
9780140276343,1,6,8,4
9780140276909,1,6,8,5
9780140277821,1,6,8,3
9780140278767,1,6,8,5
9780140280463,1,7,1,2
9780140281705,1,7,1,1
9780140283334,1,7,1,3
9780140283358,1,7,1,3
9780140283365,1,7,1,3
9780140284126,1,7,1,4
9780140286014,1,7,1,1
9780140286274,1,7,1,3
9780140286373,1,7,1,2
9780140288483,1,7,1,3
9780140295573,1,7,1,2
9780140296037,1,7,1,5
9780140297973,1,7,1,3
9780140298512,1,7,1,1
9780140299144,1,7,1,4
9780140299939,1,7,1,4
9780140299946,1,7,1,3
9780140299960,1,7,1,4
9780140309591,1,7,1,4
9780140320435,1,7,2,5
9780140322620,1,7,2,2
9780140363333,1,7,2,3
9780140364750,1,7,2,5
9780140366600,1,7,2,5
9780140367430,1,7,2,4
9780140383195,1,7,2,5
9780140389661,1,7,2,1
9780140422153,1,7,2,1
9780140424386,1,7,2,3
9780140430363,1,7,2,2
9780140430899,1,7,2,5
9780140431056,1,7,2,4
9780140433395,1,7,2,2
9780140435191,1,7,2,2
9780140436075,1,7,2,3
9780140436143,1,7,2,3
9780140436327,1,7,3,3
9780140436587,1,7,3,3
9780140437508,1,7,3,1
9780140437850,1,7,3,2
9780140437973,1,7,3,5
9780140439052,1,7,3,4
9780140440225,1,7,3,5
9780140440461,1,7,3,4
9780140440935,1,7,3,5
9780140441055,1,7,3,2
9780140441123,1,7,3,3
9780140441376,1,7,3,4
9780140441734,1,7,4,2
9780140442052,1,7,4,5
9780140442243,1,7,4,5
9780140442328,1,7,4,3
9780140442373,1,7,4,5
9780140442410,1,7,4,2
9780140442526,1,7,4,4
9780140442571,1,7,4,1
9780140442724,1,7,4,4
9780140442755,1,7,4,2
9780140443073,1,7,4,1
9780140443332,1,7,4,2
9780140443486,1,7,4,3
9780140443691,1,7,4,5
9780140443875,1,7,4,2
9780140443943,1,7,4,3
9780140444087,1,7,4,4
9780140444308,1,7,5,5
9780140444438,1,7,5,1
9780140445145,1,7,5,5
9780140445220,1,7,5,4
9780140445503,1,7,5,2
9780140446043,1,7,5,2
9780140446166,1,7,5,3
9780140447200,1,7,5,2
9780140447262,1,7,5,4
9780140447804,1,7,5,5
9780140447897,1,7,5,2
9780140447972,1,7,5,3
9780140448009,1,7,6,1
9780140448153,1,7,6,2
9780140448948,1,7,6,1
9780140449082,1,7,6,3
9780140449099,1,7,6,3
9780140449129,1,7,6,5
9780140449143,1,7,6,3
9780140449174,1,7,6,5
9780140449211,1,7,6,4
9780140449235,1,7,6,5
9780140449242,1,7,7,4
9780140449280,1,7,7,1
9780140449495,1,7,7,2
9780140449518,1,7,7,1
9780140449778,1,7,7,5
9780140502015,1,7,7,2
9780140502879,1,7,7,5
9780140503449,1,7,7,5
9780140568196,1,7,7,3
9780140620122,1,7,7,1
9780140620221,1,7,7,1
9780140620474,1,7,7,5
9780140620634,1,7,7,5
9780140621624,1,7,7,1
9780140714531,1,7,7,3
9780140714555,1,7,7,2
9780140817782,1,7,7,5
9780141000190,1,7,7,4
9780141001821,1,7,7,5
9780141001876,1,8,1,3
9780141002989,1,8,1,2
9780141005348,1,8,1,1
9780141007458,1,8,1,5
9780141007472,1,8,1,1
9780141010311,1,8,1,4
9780141010373,1,8,1,5
9780141011110,1,8,1,4
9780141013459,1,8,1,3
9780141013954,1,8,1,5
9780141014081,1,8,1,2
9780141019994,1,8,1,3
9780141180366,1,8,1,3
9780141180632,1,8,1,2
9780141180670,1,8,1,5
9780141180946,1,8,1,3
9780141181288,1,8,2,5
9780141182490,1,8,2,2
9780141182582,1,8,2,2
9780141182803,1,8,2,4
9780141182865,1,8,2,3
9780141183022,1,8,2,3
9780141183350,1,8,2,4
9780141183534,1,8,2,2
9780141183596,1,8,2,2
9780141183718,1,8,2,1
9780141183787,1,8,2,3
9780141184272,1,8,2,5
9780141184289,1,8,2,1
9780141184845,1,8,2,2
9780141184883,1,8,2,2
9780141184999,1,8,3,4
9780141185118,1,8,3,3
9780141185132,1,8,3,5
9780141185323,1,8,3,3
9780141185361,1,8,3,1
9780141185750,1,8,3,3
9780141185910,1,8,3,3
9780141185934,1,8,3,5
9780141186078,1,8,3,3
9780141186160,1,8,3,1
9780141186177,1,8,3,1
9780141186184,1,8,3,2
9780141186351,1,8,3,1
9780141186696,1,8,3,3
9780141187068,1,8,3,4
9780141187198,1,8,3,2
9780141187426,1,8,3,2
9780141187884,1,8,3,4
9780141303352,1,8,3,5
9780141304311,1,8,3,4
9780141306391,1,8,4,4
9780141307411,1,8,4,2
9780141309408,1,8,4,4
9780141310343,1,8,4,5
9780141310695,1,8,4,4
9780141311357,1,8,4,3
9780141439334,1,8,4,2
9780141439471,1,8,4,1
9780141439501,1,8,4,4
9780141439518,1,8,4,4
9780141439617,1,8,4,4
9780141439624,1,8,4,4
9780141439808,1,8,4,2
9780141439822,1,8,4,1
9780141439907,1,8,4,1
9780141441115,1,8,4,4
9780142000083,1,8,4,3
9780142000205,1,8,4,1
9780142000212,1,8,5,3
9780142000281,1,8,5,1
9780142000656,1,8,5,1
9780142000687,1,8,5,3
9780142000700,1,8,5,5
9780142001615,1,8,5,5
9780142001806,1,8,5,2
9780142002001,1,8,5,5
9780142002261,1,8,5,4
9780142002803,1,8,5,3
9780142002834,1,8,5,5
9780142002889,1,8,5,2
9780142003268,1,8,5,4
9780142003299,1,8,5,5
9780142003442,1,8,5,2
9780142003565,1,8,5,1
9780142003718,1,8,6,4
9780142003800,1,8,6,2
9780142004203,1,8,6,5
9780142180044,1,8,6,2
9780142180099,1,8,6,5
9780142300848,1,8,6,3
9780142301449,1,8,6,5
9780142302279,1,8,6,1
9780142302330,1,8,6,2
9780142302453,1,8,6,2
9780142402481,1,8,6,4
9780142402498,1,8,6,4
9780142402931,1,8,6,2
9780142403013,1,8,6,4
9780142403204,1,8,6,1
9780142404201,1,8,7,3
9780142405741,1,8,7,5
9780142406199,1,8,7,5
9780142407226,1,8,7,5
9780142407578,1,8,7,3
9780142408759,1,8,7,5
9780142437018,1,8,7,1
9780142437117,1,8,7,5
9780142437209,1,8,7,2
9780142437254,1,8,7,4
9780142437285,1,8,7,5
9780142437544,1,8,7,3
9780142437551,1,8,7,2
9780142437636,1,8,7,1
9780142437766,1,8,7,5
9780142437780,1,8,7,2
9780142437889,1,9,1,2
9780142437896,1,9,1,3
9780142437919,1,9,1,3
9780142500378,1,9,1,1
9780142501528,1,9,1,1
9780143030904,1,9,1,1
9780143034360,1,9,1,1
9780143034605,1,9,1,5
9780143034759,1,9,1,1
9780143035169,1,9,1,3
9780143035749,1,9,1,2
9780143035831,1,9,1,2
9780143036067,1,9,1,5
9780143036081,1,9,1,5
9780143036241,1,9,1,3
9780143036357,1,9,1,4
9780143036388,1,9,1,2
9780143036395,1,9,1,2
9780143036555,1,9,1,1
9780143036661,1,9,1,4
9780143036692,1,9,1,4
9780143036838,1,9,1,4
9780143036937,1,9,2,3
9780143036975,1,9,2,1
9780143037149,1,9,2,3
9780143037231,1,9,2,5
9780143037392,1,9,2,2
9780143037439,1,9,2,4
9780143037491,1,9,2,4
9780143037613,1,9,2,2
9780143037682,1,9,2,1
9780143037835,1,9,2,2
9780143038092,1,9,2,2
9780143038108,1,9,2,1
9780143038313,1,9,2,3
9780143038412,1,9,2,3
9780143038825,1,9,2,5
9780143039020,1,9,3,5
9780143039105,1,9,3,1
9780143039143,1,9,3,5
9780143039310,1,9,3,1
9780143039433,1,9,3,3
9780143039495,1,9,3,1
9780143039501,1,9,3,2
9780143039570,1,9,3,1
9780143039600,1,9,3,2
9780143039655,1,9,3,3
9780143039853,1,9,3,2
9780143039860,1,9,3,5
9780143039938,1,9,3,2
9780143039945,1,9,3,1
9780143104827,1,9,3,1
9780143104902,1,9,4,5
9780151009985,1,9,4,4
9780151010264,1,9,4,5
9780151461547,1,9,4,2
9780152000172,1,9,4,5
9780152018481,1,9,4,4
9780152045739,1,9,4,4
9780152046996,1,9,4,1
9780152049676,1,9,4,2
9780152051242,1,9,4,4
9780152052607,1,9,4,5
9780152054472,1,9,4,1
9780152056780,1,9,4,1
9780152057084,1,9,4,4
9780152057640,1,9,4,2
9780152758516,1,9,4,1
9780156001267,1,9,5,2
9780156001458,1,9,5,5
9780156002080,1,9,5,2
9780156003650,1,9,5,5
9780156004800,1,9,5,4
9780156005203,1,9,5,4
9780156006248,1,9,5,3
9780156007757,1,9,5,4
9780156010597,1,9,5,5
9780156011464,1,9,5,5
9780156026987,1,9,5,3
9780156027595,1,9,5,5
9780156027656,1,9,5,5
9780156027786,1,9,5,2
9780156027915,1,9,5,1
9780156028066,1,9,6,4
9780156028790,1,9,6,4
9780156028974,1,9,6,2
9780156029025,1,9,6,5
9780156029063,1,9,6,2
9780156030168,1,9,6,1
9780156030274,1,9,6,2
9780156030304,1,9,6,5
9780156030410,1,9,6,3
9780156030472,1,9,6,2
9780156030489,1,9,6,4
9780156030939,1,9,6,2
9780156031639,1,9,6,2
9780156032292,1,9,6,2
9780156032391,1,9,6,2
9780156032971,1,9,6,5
9780156118705,1,9,6,5
9780156119078,1,9,6,3
9780156189217,1,9,6,3
9780156212502,1,9,7,5
9780156260275,1,9,7,4
9780156260329,1,9,7,2
9780156260367,1,9,7,3
9780156260374,1,9,7,4
9780156260381,1,9,7,4
9780156260404,1,9,7,3
9780156272506,1,9,7,2
9780156286510,1,9,7,4
9780156306300,1,9,7,1
9780156400572,1,9,7,4
9780156421171,1,9,7,2
9780156443791,1,9,7,4
9780156453806,1,9,7,4
9780156508872,1,9,7,2
9780156572040,1,10,1,3
9780156619189,1,10,1,5
9780156628709,1,10,1,5
9780156631402,1,10,1,4
9780156632775,1,10,1,1
9780156659758,1,10,1,2
9780156701600,1,10,1,4
9780156701761,1,10,1,3
9780156717205,1,10,1,2
9780156907392,1,10,1,1
9780156913218,1,10,1,3
9780156932509,1,10,1,1
9780156935906,1,10,1,4
9780156948708,1,10,1,5
9780156949521,1,10,1,2
9780156949606,1,10,2,4
9780192752536,1,10,2,2
9780192801975,1,10,2,1
9780192802378,1,10,2,5
9780192802637,1,10,2,3
9780192802644,1,10,2,1
9780192802774,1,10,2,4
9780192803467,1,10,2,2
9780192804099,1,10,2,5
9780192805348,1,10,2,1
9780192806949,1,10,2,4
9780192807267,1,10,3,4
9780192822758,1,10,3,4
9780192822895,1,10,3,3
9780192824547,1,10,3,2
9780192831873,1,10,3,2
9780192832603,1,10,3,3
9780192832979,1,10,3,4
9780192833006,1,10,4,3
9780192833075,1,10,4,5
9780192833594,1,10,4,3
9780192833600,1,10,4,2
9780192833761,1,10,4,4
9780192833983,1,10,4,1
9780192834409,1,10,4,3
9780192834423,1,10,4,5
9780192835024,1,10,4,1
9780192835437,1,10,4,3
9780192835857,1,10,5,1
9780192836021,1,10,5,1
9780192836229,1,10,5,3
9780192836366,1,10,5,1
9780192836380,1,10,5,1
9780192836892,1,10,5,3
9780192837622,1,10,5,5
9780192837684,1,10,5,4
9780192837806,1,10,5,4
9780192838742,1,10,5,5
9780192838971,1,10,5,3
9780192838995,1,10,5,1
9780192839190,1,10,5,5
9780192839701,1,10,5,1
9780192839992,1,10,6,3
9780192840318,1,10,6,1
9780192840509,1,10,6,4
9780192840745,1,10,6,1
9780192840943,1,10,6,4
9780192854520,1,10,6,3
9780192862099,1,10,6,3
9780192875341,1,10,6,4
9780194230353,1,10,6,4
9780195023664,1,10,6,4
9780195061666,1,10,6,4
9780195069051,1,10,6,3
9780195087444,1,10,6,1
9780195098310,1,10,7,5
9780195101287,1,10,7,5
9780195108965,1,10,7,2
